Year,States,State_Case_Count,State_Population,State_Incidence,Sex,Sex_Incidence,Sex_Cases,State_Sex_Cases,State_Sex_Population,State_Sex_Incidence,Age_Category,Age_Population,Age_Incidence,Age_Case_Count,State_Sex_Age_CaseCount,State_Sex_Age_Population,State_Sex_Age_Incidence
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,<1 year,3058322,3.4,104,0.454671159,18289.44129,2.485976209
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,1-4 years,12301119,13.06,1607,7.025543778,73563.40951,9.55032376
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,5-14 years,31642189,6.04,1911,8.354582551,189227.2815,4.415104675
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,15-24 years,33918142,5.54,1880,8.219055571,202837.9833,4.052029821
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,25-39 years,51193436,6.76,3461,15.13093156,306148.0583,4.942357512
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,40-64 years,82019887,6.46,5297,23.15762625,490497.0463,4.721257025
2016,Arkansas,178,2988248,5.96,Female,5.04,6490,71.04674047,1517131.468,4.682965319,65+ years,39558446,5.03,1991,8.704329596,236568.2474,3.679415852
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,<1 year,3058322,3.4,104,10.4514541,232941.9944,4.486719592
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,1-4 years,12301119,13.06,1607,161.4950648,936934.4343,17.23653853
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,5-14 years,31642189,6.04,1911,192.0454691,2410078.014,7.968433718
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,15-24 years,33918142,5.54,1880,188.9301318,2583429.62,7.313151879
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,25-39 years,51193436,6.76,3461,347.8123331,3899230.062,8.920025943
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,40-64 years,82019887,6.46,5297,532.3206959,6247176.084,8.520981139
2016,California,2718,39250017,6.92,Male,7.82,9770,1633.140198,19322822.62,8.451871811,65+ years,39558446,5.03,1991,200.0850492,3013032.41,6.640653732
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,<1 year,3058322,3.4,104,6.942675341,240228.0137,2.890035694
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,1-4 years,12301119,13.06,1607,107.2776853,966240.1092,11.10259078
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,5-14 years,31642189,6.04,1911,127.5716594,2485461.051,5.132716095
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,15-24 years,33918142,5.54,1880,125.5022081,2664234.793,4.710628674
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,25-39 years,51193436,6.76,3461,231.0442246,4021191.177,5.745666257
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,40-64 years,82019887,6.46,5297,353.609147,6442576.856,5.488629082
2016,California,2718,39250017,6.92,Female,5.04,6490,1084.859779,19927206.81,5.444113613,65+ years,39558446,5.03,1991,132.9121789,3107274.808,4.277451693
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,<1 year,3058322,3.4,104,1.784207028,32882.16671,5.426062839
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,1-4 years,12301119,13.06,1607,27.56942975,132257.9655,20.8451942
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,5-14 years,31642189,6.04,1911,32.78480414,340207.3862,9.636711452
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,15-24 years,33918142,5.54,1880,32.2529732,364677.7545,8.844239277
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,25-39 years,51193436,6.76,3461,59.3763512,550416.5673,10.7875298
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,40-64 years,82019887,6.46,5297,90.87446758,881853.3816,10.30494065
2016,Colorado,464,5540545,8.37,Male,7.82,9770,278.799504,2727615.844,10.22136254,65+ years,39558446,5.03,1991,34.15727109,425320.6222,8.030946374
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,<1 year,3058322,3.4,104,1.185210213,33910.66353,3.495095906
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,1-4 years,12301119,13.06,1607,18.31377704,136394.764,13.42703818
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,5-14 years,31642189,6.04,1911,21.77823766,350848.4798,6.207305692
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,15-24 years,33918142,5.54,1880,21.42495385,376084.2387,5.696849707
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,25-39 years,51193436,6.76,3461,39.44242833,567632.6375,6.948583596
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,40-64 years,82019887,6.46,5297,60.36594709,909436.2173,6.63773291
2016,Colorado,464,5540545,8.37,Female,5.04,6490,185.200492,2812930.91,6.583897647,65+ years,39558446,5.03,1991,22.68993782,438623.9095,5.172982442
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,<1 year,3058322,3.4,104,1.065140834,21225.61786,5.018185293
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,1-4 years,12301119,13.06,1607,16.45847423,85373.23771,19.27825941
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,5-14 years,31642189,6.04,1911,19.57196282,219605.7223,8.912319139
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,15-24 years,33918142,5.54,1880,19.25446892,235401.4785,8.179417156
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,25-39 years,51193436,6.76,3461,35.44665794,355296.8946,9.976630383
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,40-64 years,82019887,6.46,5297,54.25049035,569241.1649,9.530317497
2016,Connecticut,277,3576452,7.75,Male,7.82,9770,166.438497,1760690.896,9.453021957,65+ years,39558446,5.03,1991,20.39130192,274546.7802,7.42725954
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,<1 year,3058322,3.4,104,0.707550062,21889.51816,3.232369288
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,1-4 years,12301119,13.06,1607,10.93300914,88043.56368,12.41772673
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,5-14 years,31642189,6.04,1911,13.0012324,226474.6063,5.740702064
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,15-24 years,33918142,5.54,1880,12.79032805,242764.4262,5.268617093
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,25-39 years,51193436,6.76,3461,23.54644967,366409.9618,6.426258052
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,40-64 years,82019887,6.46,5297,36.03742962,587046.0357,6.138774036
2016,Connecticut,277,3576452,7.75,Female,5.04,6490,110.5615006,1815762.236,6.088985573,65+ years,39558446,5.03,1991,13.54550168,283134.1246,4.784128969
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,<1 year,3058322,3.4,104,0.076905475,5650.339461,1.36107708
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,1-4 years,12301119,13.06,1607,1.188337489,22726.6776,5.228821873
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,5-14 years,31642189,6.04,1911,1.41313811,58459.87085,2.417278877
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,15-24 years,33918142,5.54,1880,1.390214362,62664.76067,2.218494649
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,25-39 years,51193436,6.76,3461,2.559325483,94581.37225,2.705950888
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,40-64 years,82019887,6.46,5297,3.917002913,151534.1433,2.584897917
2016,Delaware,20,952065,2.1,Male,7.82,9770,12.01722,468702.5516,2.56393313,65+ years,39558446,5.03,1991,1.472296168,73085.38749,2.014487736
